game_id,team,number,player_name,player_url,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
741615,"א.ס רמה""ש ירק השדה",24,דויד מוסיס,https://ibasketball.co.il/player/2168ec2688412e13-46345321/,0,4,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,4,0,0,0,0,0,0,-3
741615,"א.ס רמה""ש ירק השדה",37,איתי זלכה,https://ibasketball.co.il/player/2368ec2647733303-58166809/,0,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,0,1
741615,"א.ס רמה""ש ירק השדה",11,עומר לוי,https://ibasketball.co.il/player/2168ec27420ae303-51556955/,0,3,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1
741615,מ.ס צפת,12,טאז שרמן,https://ibasketball.co.il/player/1668eec0ee5ba311-21497722/,1,32,18,4,8,50.0,3,7,42.9,7,15,46.7,1,1,100.0,1,1,2,3,2,1,2,3,0,0,13
741615,מ.ס צפת,10,נועם אקריש,https://ibasketball.co.il/player/3968eec10df06ad4-30351561/,1,28,17,1,6,16.7,5,9,55.6,6,15,40.0,0,0,0.0,5,2,7,4,0,0,1,0,0,0,10
741615,מ.ס צפת,18,דניאל קופרברג,https://ibasketball.co.il/player/3168eec1073f7fe3-01725041/,1,25,6,2,5,40.0,0,0,0.0,2,5,40.0,2,4,50.0,7,1,8,2,3,0,4,3,0,0,9
741615,מ.ס צפת,11,ג'וש אנזיקור,https://ibasketball.co.il/player/1968eec7f2521241-77442655/,1,23,0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,1,1,2,1,2,2,2,2,0,0,2
741615,מ.ס צפת,33,די ג'יי שארפ,https://ibasketball.co.il/player/2668eec0ef0c3750-65255799/,1,22,12,3,3,100.0,2,5,40.0,5,8,62.5,0,0,0.0,1,2,3,1,0,0,1,0,0,0,10
741615,מ.ס צפת,15,רז מור,https://ibasketball.co.il/player/2168eec0f18dac95-39331464/,0,21,4,2,5,40.0,0,3,0.0,2,8,25.0,0,0,0.0,1,1,2,0,2,0,1,3,0,0,4
741615,מ.ס צפת,2,יובל בר,https://ibasketball.co.il/player/2468eec0f54558b1-12771749/,0,15,5,2,3,66.7,0,0,0.0,2,3,66.7,1,2,50.0,3,0,3,3,1,0,3,1,0,0,2
